"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","590","opens the kitchen sink page","","2026-01-08","passed","2026-01-08","","Example Cypress test with Allure","",""
"","4303","failing test to see screenshot","","2026-01-08","failed","2026-01-08","","Example Cypress test with Allure","",""
